"","","","","",""
"Selected Tourism Statistics","","","","",""
"","","","","",""
"Country","Saint Lucia","","","",""
"Time frequency","Annual","","","",""
"Reference period","2010 to 2025","","","",""
"Data as at","31 March 2026","","","",""
"","","","","",""
"Country","Indicator Label","Unit","Frequency","Date","Amount"
"Saint Lucia","Total Visitor Arrivals","No.","A","2010-12-31","1,026,343"
"Saint Lucia","Total Visitor Arrivals","No.","A","2011-12-31","994,961"
"Saint Lucia","Total Visitor Arrivals","No.","A","2012-12-31","931,222"
"Saint Lucia","Total Visitor Arrivals","No.","A","2013-12-31","960,617"
"Saint Lucia","Total Visitor Arrivals","No.","A","2014-12-31","1,034,068"
"Saint Lucia","Total Visitor Arrivals","No.","A","2015-12-31","1,088,181"
"Saint Lucia","Total Visitor Arrivals","No.","A","2016-12-31","1,004,044"
"Saint Lucia","Total Visitor Arrivals","No.","A","2017-12-31","1,114,756"
"Saint Lucia","Total Visitor Arrivals","No.","A","2018-12-31","1,228,718"
"Saint Lucia","Total Visitor Arrivals","No.","A","2019-12-31","1,286,004"
"Saint Lucia","Total Visitor Arrivals","No.","A","2020-12-31","455,408"
"Saint Lucia","Total Visitor Arrivals","No.","A","2021-12-31","301,675"
"Saint Lucia","Total Visitor Arrivals","No.","A","2022-12-31","736,866"
"Saint Lucia","Total Visitor Arrivals","No.","A","2023-12-31","1,047,293"
"Saint Lucia","Total Visitor Arrivals","No.","A","2024-12-31","1,215,073"
"Saint Lucia","Total Visitor Arrivals","No.","A","2025-12-31","1,146,470"
"Saint Lucia","Cruise Ship Passengers","No.","A","2010-12-31","670,043"
"Saint Lucia","Cruise Ship Passengers","No.","A","2011-12-31","630,304"
"Saint Lucia","Cruise Ship Passengers","No.","A","2012-12-31","571,894"
"Saint Lucia","Cruise Ship Passengers","No.","A","2013-12-31","594,118"
"Saint Lucia","Cruise Ship Passengers","No.","A","2014-12-31","641,452"
"Saint Lucia","Cruise Ship Passengers","No.","A","2015-12-31","677,394"
"Saint Lucia","Cruise Ship Passengers","No.","A","2016-12-31","587,421"
"Saint Lucia","Cruise Ship Passengers","No.","A","2017-12-31","669,217"
"Saint Lucia","Cruise Ship Passengers","No.","A","2018-12-31","760,306"
"Saint Lucia","Cruise Ship Passengers","No.","A","2019-12-31","786,743"
"Saint Lucia","Cruise Ship Passengers","No.","A","2020-12-31","297,885"
"Saint Lucia","Cruise Ship Passengers","No.","A","2021-12-31","93,610"
