"constituency","poldist","tpi","tourism_tier","rank"
"Soufriere",800,0.225783475783476,"High",1
"Gros Islet",100,0.225673200339171,"High",2
"Anse-la-Raye/Canaries",700,0.133903133903134,"High",3
"Babonneau",200,0.0627356993552986,"Medium",4
"Choiseul",900,0.0571692273455173,"Medium",5
"Castries South-East",1700,0.0395852350384338,"Low",6
"Castries East",400,0.0318246073989003,"Low",7
"Castries North",300,0.0314260481311412,"Low",8
"Vieux-Fort South",1100,0.0283347813564964,"Low",9
"Laborie",1000,0.0276634552423422,"Low",10
"Castries South",600,0.0257484553570192,"Low",11
"Castries Central",500,0.021040942414225,"Low",12
"Dennery South",1500,0.0196304183025085,"Low",13
"Vieux-Fort North",1200,0.0195768158780082,"Low",14
"Micoud South",1300,0.0173942540472648,"Low",15
"Micoud North",1400,0.0172403835092884,"Low",16
"Dennery North",1600,0.0152698665977764,"Low",17
