"district","n_attractions","weighted_score","tpi_v2","rank_v2","tpi_v1","rank_v1","rank_change"
"Gros Islet",85,185,0.263532763532764,1,0.375968992248062,2,1
"Soufriere",94,158.5,0.225783475783476,2,0.349741545599104,3,1
"Castries",64,122.5,0.174501424501425,3,0.42894395666379,1,-2
"Canaries",28,62.5,0.089031339031339,4,0.070285597682081,5,1
"Vieux Fort",19,35,0.0498575498575499,5,0.0130240298255175,10,5
"Anse-la-Raye",24,31.5,0.0448717948717949,6,0.0749820703025468,4,-2
"Choiseul",17,29.5,0.042022792022792,7,0.0362437657990025,7,0
"Micoud",16,27.5,0.0391737891737892,8,0.0237018202932128,9,1
"Laborie",17,25.5,0.0363247863247863,9,0.0269184179577105,8,-1
"Dennery",15,24.5,0.0349002849002849,10,0.0409089504837418,6,-4
