"constituency","renter_rate_10","owner_rate_10","renter_rate_22","owner_rate_22","tpi","tourism_tier","d_renter","d_owner","median_rent","n_renters","renter_rate_10_pct","renter_rate_22_pct","owner_rate_10_pct","owner_rate_22_pct","tpi_pct"
"Soufriere",0.110309483978492,0.192704110767597,0.269028963259369,0.600027736039167,0.225783475783476,"High",15.9,40.7,500,527,11,26.9,19.3,60,22.6
"Gros Islet",0.0963056339162777,0.205661585695686,0.252213852190084,0.658879725205875,0.225673200339171,"High",15.6,45.3,850,1408,9.6,25.2,20.6,65.9,22.6
"Anse-la-Raye/Canaries",0.0494831830875759,0.23647519598905,0.121361140308653,0.727862314213582,0.133903133903134,"High",7.2,49.1,300,247,4.9,12.1,23.6,72.8,13.4
"Babonneau",0.0473614414733676,0.231471755944894,0.146479562681037,0.761903331064281,0.0627356993552986,"Medium",9.9,53,650,483,4.7,14.6,23.1,76.2,6.3
"Choiseul",0.0143042881978991,0.289269300634287,0.0414389736954397,0.873691004387917,0.0571692273455173,"Medium",2.7,58.4,500,53,1.4,4.1,28.9,87.4,5.7
"Castries South-East",0.0463916078831951,0.250941442625346,0.102957713622256,0.82082579874729,0.0395852350384338,"Low",5.7,57,600,327,4.6,10.3,25.1,82.1,4
"Castries East",0.104326221633634,0.193435656671266,0.212716971655577,0.626293018014757,0.0318246073989003,"Low",10.8,43.3,600,479,10.4,21.3,19.3,62.6,3.2
"Castries North",0.0892380992108274,0.180969382326666,0.233079799838883,0.627307478209056,0.0314260481311412,"Low",14.4,44.6,700,460,8.9,23.3,18.1,62.7,3.1
"Vieux-Fort South",0.0793825611364242,0.212472093649626,0.15776151656078,0.7197251222501,0.0283347813564964,"Low",7.8,50.7,650,227,7.9,15.8,21.2,72,2.8
"Laborie",0.0326955265518921,0.25227484447418,0.0821027253799599,0.780994350108903,0.0276634552423422,"Low",4.9,52.9,500,203,3.3,8.2,25.2,78.1,2.8
"Castries South",0.0692183654847268,0.243162920294218,0.149762393872003,0.74841155983454,0.0257484553570192,"Low",8.1,50.5,700,284,6.9,15,24.3,74.8,2.6
"Castries Central",0.154533556362004,0.192248692075398,0.30691792336642,0.479043773892385,0.021040942414225,"Low",15.2,28.7,525,426,15.5,30.7,19.2,47.9,2.1
"Dennery South",0.0447387898428852,0.235716334506042,0.100204757650742,0.81660355282194,0.0196304183025085,"Low",5.5,58.1,400,153,4.5,10,23.6,81.7,2
"Vieux-Fort North",0.0272602227337214,0.238025934568697,0.0525983111155302,0.870851473335085,0.0195768158780082,"Low",2.5,63.3,500,91,2.7,5.3,23.8,87.1,2
"Micoud South",0.0283956868624747,0.265357388358499,0.0754384111238238,0.84646418296589,0.0173942540472648,"Low",4.7,58.1,400,123,2.8,7.5,26.5,84.6,1.7
"Micoud North",0.0264997289518636,0.256652794781872,0.0887341826785877,0.802815182051789,0.0172403835092884,"Low",6.2,54.6,450,160,2.6,8.9,25.7,80.3,1.7
"Dennery North",0.0334061474177414,0.242304245460556,0.0878582904591749,0.792488139277865,0.0152698665977764,"Low",5.4,55,300,121,3.3,8.8,24.2,79.2,1.5
