"constituency","renter_rate_10","owner_rate_10","rentfree_rate_10","hh_size_10","ppbr_10","renter_rate_22","owner_rate_22","rentfree_rate_22","hh_size_22","ppbr_22","nte","tourism_tier","str_count","str_count_broad","d_renter","d_owner","d_hh_size","d_ppbr"
"Anse-la-Raye/Canaries",0.0494831830875759,0.23647519598905,0.149002701911554,1.15031811866483,0.815588653376601,0.121361140308653,0.727862314213582,0.13182058402627,2.61700835977485,1.31339133093011,0.0975609756097561,"Medium",14,68,7.18779572210776,49.1387118224532,1.46669024111002,0.497802677553508
"Babonneau",0.0473614414733676,0.231471755944894,0.0867535460649195,1.21499141347323,0.765994686991093,0.146479562681037,0.761903331064281,0.07130578175813,2.61595934498308,1.20373687518167,0.0557491289198606,"Medium",4.5946036614054,37.1397129296937,9.91181212076695,53.0431575119386,1.40096793150985,0.437742188190574
"Castries Central",0.154533556362004,0.192248692075398,0.0591378479825579,1.1763816220631,0.797810467168825,0.30691792336642,0.479043773892385,0.119477350232642,2.45585108790837,1.26148220546594,0.0121951219512195,"Low",2.72886910639418,22.0583586100196,15.2384367004417,28.6795081816987,1.27946946584526,0.463671738297115
"Castries East",0.104326221633634,0.193435656671266,0.0669031827408583,1.15363806826336,0.736642119872847,0.212716971655577,0.626293018014757,0.0929495590979141,2.56678835269043,1.20649619780682,0.0121951219512195,"Low",4.12743812726134,33.3634581953625,10.8390750021943,43.2857361343491,1.41315028442707,0.469854077933968
"Castries North",0.0892380992108274,0.180969382326666,0.0742813297768593,1.21425699832806,0.697986043475363,0.233079799838883,0.627307478209056,0.0647369894530555,2.57982923975233,1.14792765954005,0.0331010452961672,"Low",4.07574766342929,32.9456269460535,14.3841700628056,44.633809588239,1.36557224142426,0.449941616064687
"Castries South",0.0692183654847268,0.243162920294218,0.0611833510310955,1.2196685472202,0.753072470898797,0.149762393872003,0.74841155983454,0.0633758880711843,2.57473450511777,1.17203459810069,0.0226480836236934,"Low",3.33940196108499,26.993499185437,8.05440283872765,50.5248639540322,1.35506595789757,0.418962127201896
"Castries South-East",0.0463916078831951,0.250941442625346,0.0605030619342543,1.1776580625715,0.768023626939303,0.102957713622256,0.82082579874729,0.0571767493536928,2.61621363370053,1.19065365152221,0.0209059233449477,"Low",5.1339394804248,41.4993441334338,5.65661057390604,56.9884356121944,1.43855557112903,0.422630024582907
"Choiseul",0.0143042881978991,0.289269300634287,0.069940455838944,1.16739222646209,0.677162706651807,0.0414389736954397,0.873691004387917,0.0655724926314587,2.72134509766136,1.08722015226836,0.0470383275261324,"Medium",2,35,2.71346854975406,58.442170375363,1.55395287119927,0.410057445616552
"Dennery North",0.0334061474177414,0.242304245460556,0.141597659537328,1.20009971190132,0.777220221600258,0.0878582904591749,0.792488139277865,0.101045627956088,2.62023650940617,1.18410161490725,0.0209059233449477,"Low",3.93775580264292,36.7523874913339,5.44521430414335,55.0183893817309,1.42013679750485,0.40688139330699
"Dennery South",0.0447387898428852,0.235716334506042,0.106734082197606,1.16627035582055,0.730980272597468,0.100204757650742,0.81660355282194,0.0625050037902584,2.62849530796657,1.20014760320646,0.0209059233449477,"Low",5.06224419735709,47.2476125086661,5.54659678078567,58.0887218315898,1.46222495214602,0.469167330608992
"Gros Islet",0.0963056339162777,0.205661585695686,0.0383601531876173,1.22333639806975,0.641285080315136,0.252213852190084,0.658879725205875,0.0537859460808387,2.51201884610758,1.08518192357569,0.172473867595819,"High",104,327,15.5908218273807,45.3218139510189,1.28868244803783,0.443896843260557
"Laborie",0.0326955265518921,0.25227484447418,0.055272987768762,1.17229136984829,0.692145172532597,0.0821027253799599,0.780994350108903,0.111690709508777,2.6186469929416,1.14130121143573,0.0958188153310105,"Medium",14,104,4.94071988280677,52.8719505634723,1.44635562309331,0.449156038903134
"Micoud North",0.0264997289518636,0.256652794781872,0.075956370998859,1.18118618987861,0.692402024830961,0.0887341826785877,0.802815182051789,0.0935601989147749,2.60811275673454,1.15715425289002,0.0365853658536585,"Low",6.47112259381339,74.1690204983227,6.2234453726724,54.6162387269918,1.42692656685593,0.464752228059062
"Micoud South",0.0283956868624747,0.265357388358499,0.0678639852463786,1.13892977787686,0.690649912787814,0.0754384111238238,0.84646418296589,0.0689312894245852,2.63634623686427,1.19502521243606,0.0331010452961672,"Low",6.52887740618661,74.8309795016773,4.70427242613491,58.1106794607392,1.49741645898741,0.504375299648243
"Soufriere",0.110309483978492,0.192704110767597,0.104651022767183,1.15648299668233,0.7320817035947,0.269028963259369,0.600027736039167,0.112342776172827,2.76012307369724,1.24053579378846,0.247386759581882,"High",19,127,15.8719479280877,40.7323625271571,1.60364007701491,0.508454090193761
"Vieux-Fort North",0.0272602227337214,0.238025934568697,0.0534049787364314,1.17946425692778,0.723677985502032,0.0525983111155302,0.870851473335085,0.0521085269213099,2.66288360333232,1.15158678210836,0.0418118466898955,"Medium",19.4577169421086,129.013123203111,2.53380883818088,63.2825538766388,1.48341934640454,0.427908796606326
"Vieux-Fort South",0.0793825611364242,0.212472093649626,0.0548302970282903,1.19316725672984,0.695203218645707,0.15776151656078,0.7197251222501,0.0622262587116242,2.66739714669402,1.15892877087216,0.029616724738676,"Low",26.5422830578914,175.986876796889,7.83789554243561,50.7253028600474,1.47422988996419,0.463725552226448
