"Time","Saint Lucia"
"2009-12-01",70
"2010-01-01",61
"2010-02-01",85
"2010-03-01",87
"2010-04-01",52
"2010-05-01",62
"2010-06-01",51
"2010-07-01",50
"2010-08-01",53
"2010-09-01",59
"2010-10-01",57
"2010-11-01",63
"2010-12-01",68
"2011-01-01",71
"2011-02-01",59
"2011-03-01",51
"2011-04-01",48
"2011-05-01",45
"2011-06-01",49
"2011-07-01",44
"2011-08-01",53
"2011-09-01",49
"2011-10-01",54
"2011-11-01",58
"2011-12-01",65
"2012-01-01",64
"2012-02-01",56
"2012-03-01",53
"2012-04-01",46
"2012-05-01",48
"2012-06-01",46
"2012-07-01",55
"2012-08-01",53
"2012-09-01",46
"2012-10-01",51
"2012-11-01",49
"2012-12-01",67
"2013-01-01",58
"2013-02-01",59
"2013-03-01",52
"2013-04-01",50
"2013-05-01",48
"2013-06-01",49
"2013-07-01",54
"2013-08-01",50
"2013-09-01",48
"2013-10-01",50
"2013-11-01",54
"2013-12-01",73
"2014-01-01",61
"2014-02-01",81
"2014-03-01",63
"2014-04-01",52
"2014-05-01",51
"2014-06-01",51
"2014-07-01",57
"2014-08-01",56
"2014-09-01",51
"2014-10-01",54
"2014-11-01",58
"2014-12-01",65
"2015-01-01",65
"2015-02-01",59
"2015-03-01",56
"2015-04-01",57
"2015-05-01",51
"2015-06-01",54
"2015-07-01",55
"2015-08-01",58
"2015-09-01",52
"2015-10-01",55
"2015-11-01",54
"2015-12-01",66
"2016-01-01",63
"2016-02-01",59
"2016-03-01",59
"2016-04-01",61
"2016-05-01",58
"2016-06-01",61
"2016-07-01",72
"2016-08-01",68
"2016-09-01",68
"2016-10-01",61
"2016-11-01",59
"2016-12-01",73
"2017-01-01",76
"2017-02-01",70
"2017-03-01",75
"2017-04-01",61
"2017-05-01",58
"2017-06-01",62
"2017-07-01",63
"2017-08-01",60
"2017-09-01",66
"2017-10-01",54
"2017-11-01",61
"2017-12-01",71
"2018-01-01",72
"2018-02-01",68
"2018-03-01",66
"2018-04-01",65
"2018-05-01",59
"2018-06-01",60
"2018-07-01",68
"2018-08-01",70
"2018-09-01",62
"2018-10-01",55
"2018-11-01",67
"2018-12-01",79
"2019-01-01",81
"2019-02-01",80
"2019-03-01",72
"2019-04-01",59
"2019-05-01",64
"2019-06-01",62
"2019-07-01",70
"2019-08-01",67
"2019-09-01",72
"2019-10-01",69
"2019-11-01",68
"2019-12-01",92
"2020-01-01",83
"2020-02-01",75
"2020-03-01",65
"2020-04-01",48
"2020-05-01",45
"2020-06-01",53
"2020-07-01",48
"2020-08-01",56
"2020-09-01",57
"2020-10-01",55
"2020-11-01",53
"2020-12-01",66
"2021-01-01",53
"2021-02-01",58
"2021-03-01",56
"2021-04-01",59
"2021-05-01",73
"2021-06-01",65
"2021-07-01",80
"2021-08-01",72
"2021-09-01",65
"2021-10-01",62
"2021-11-01",71
"2021-12-01",76
"2022-01-01",79
"2022-02-01",82
"2022-03-01",86
"2022-04-01",83
"2022-05-01",79
"2022-06-01",82
"2022-07-01",78
"2022-08-01",74
"2022-09-01",78
"2022-10-01",70
"2022-11-01",100
"2022-12-01",95
