"osm_type","osm_id","lon","lat","attr_type","weight","name","district","constituency_override"
"node","279872210",-61.0427632,13.8746259,"viewpoint",1.5,NA,"Soufriere",NA
"node","281163703",-61.0110989,13.8634618,"peak",2.5,"Mount Gimie","Anse-la-Raye",NA
"node","288215868",-60.9206585,13.8221092,"waterfall",2,"Latille Waterfall","Micoud",NA
"node","1042617329",-61.0478697,13.8501105,"waterfall",2,"Diamond Falls","Soufriere",NA
"node","1224753135",-61.0489948,13.8672,"viewpoint",1.5,NA,"Soufriere",NA
"node","1224753146",-60.9975012,14.0064044,"viewpoint",1.5,NA,"Castries",NA
"node","1224753161",-61.0190631,13.963838,"viewpoint",1.5,NA,"Castries",NA
"node","1224782980",-60.9647684,14.0940237,"peak",2.5,"Signal Hill","Gros Islet",NA
"node","1675449859",-61.0656753,13.8101421,"peak",2.5,"Gros Piton","Soufriere",NA
"node","2123736668",-60.9628909,14.069344,"peak",2.5,"Mount Pimard","Gros Islet",NA
"node","2123741494",-61.0640355,13.8339056,"peak",2.5,"Petit Piton","Soufriere",NA
"node","2258269130",-60.9057501,13.9093933,"waterfall",2,"Sault Falls","Dennery",NA
"node","2258505696",-61.0618725,13.8281625,"viewpoint",1.5,"Sugar Beach","Soufriere",NA
"node","2621272096",-61.0599462,13.838701,"waterfall",2,"Piton Falls","Soufriere",NA
"node","2621272580",-61.0612149,13.8484098,"viewpoint",1.5,"Soufriere","Soufriere",NA
"node","2631362168",-60.978443,14.0088162,"viewpoint",1.5,"View point","Castries",NA
"node","2632179614",-61.0341359,13.868072,"peak",2.5,"Mount Tabac","Soufriere",NA
"node","3265602461",-60.8892869,13.9045149,"viewpoint",1.5,"Mandele Lookout Point","Dennery",NA
"node","4000049157",-61.0506815,13.7753867,"beach",3,"Choiseul village public beach","Choiseul",NA
"node","4013075191",-61.0374466,13.7595508,"beach",3,"River Doree Beach","Laborie",NA
"node","4013332381",-61.0210809,13.7532377,"beach",3,"Piaye Beach","Laborie",NA
"node","4013459862",-61.0677571,13.7997032,"beach",3,"Anse L'Ivrogne Beach","Choiseul",NA
"node","4027985616",-61.007218,13.7703539,"viewpoint",1.5,"Morne Le Blanc Heritage Site","Laborie",NA
"node","4031158000",-61.0501517,13.7784035,"viewpoint",1.5,NA,"Choiseul",NA
"node","4343364215",-60.9443709,13.7118498,"peak",2.5,"Cape Moule-à-Chique","Vieux Fort",NA
"node","4529022580",-61.0445449,13.9381939,"viewpoint",1.5,NA,"Anse-la-Raye",NA
"node","4530570420",-60.9191251,13.832168,"waterfall",2,"La Tille Falls","Micoud",NA
"node","5001859981",-61.0251631,13.9717663,"viewpoint",1.5,NA,"Castries",NA
"node","5001864597",-61.0275074,13.9701348,"viewpoint",1.5,NA,"Castries",NA
"node","5090847320",-61.0655291,13.8100249,"viewpoint",1.5,"Gros Piton Viewpoint","Soufriere",NA
"node","5178631921",-61.0568357,13.8179171,"viewpoint",1.5,NA,"Soufriere",NA
"node","5198650215",-61.036526,13.8542247,"waterfall",2,"Toraille Falls","Soufriere",NA
"node","5217847577",-61.0438082,13.9425628,"viewpoint",1.5,"Viewing Point","Anse-la-Raye",NA
"node","5241056829",-61.0549882,13.8199649,"nature_reserve",2,"Tet Paul Nature trail","Soufriere",NA
"node","5250516422",-61.0568632,13.9265455,"beach",3,"Anse Cochon Beach","Canaries",NA
"node","6167221187",-61.0661358,13.9065292,"viewpoint",1.5,NA,"Canaries",NA
