"osm_type","osm_id","lon","lat","attr_type","weight","name","district"
"node",279872210,-61.0427632,13.8746259,"viewpoint",1.5,NA,"Soufriere"
"node",653293663,-60.8967735,14.0391282,"historic",1.5,"Old Dauphin","Gros Islet"
"node",1224753135,-61.0489948,13.8672,"viewpoint",1.5,NA,"Soufriere"
"node",1224753145,-61.0622086,13.8583602,"hotel",3,"Hummingbird Beach Resort","Soufriere"
"node",1224753146,-60.9975012,14.0064044,"viewpoint",1.5,NA,"Castries"
"node",1224753161,-61.0190631,13.963838,"viewpoint",1.5,NA,"Castries"
"node",1224782919,-60.9622752,14.0939255,"attraction",2,"Pigeon Is. interpretation Center","Gros Islet"
"node",1224782998,-60.9662412,14.0912729,"historic",1.5,"US Signaling Station","Gros Islet"
"node",1224783048,-60.9630332,14.0937952,"historic",1.5,"Soldiers Baracks","Gros Islet"
"node",1976743759,-61.048949,13.8327433,"guesthouse",1,"Jaco Pitons Villa","Soufriere"
"node",2258505696,-61.0618725,13.8281625,"viewpoint",1.5,"Sugar Beach","Soufriere"
"node",2326504666,-61.0550726,13.857905,"guesthouse",1,"Frenz","Soufriere"
"node",2326530340,-61.0589654,13.854145,"hotel",3,"Downtown Hotel","Soufriere"
"node",2609099751,-61.0022017,14.0207862,"hotel",3,"Casa del Vega","Castries"
"node",2621272580,-61.0612149,13.8484098,"viewpoint",1.5,"Soufriere","Soufriere"
"node",2631362168,-60.978443,14.0088162,"viewpoint",1.5,"View point","Castries"
"node",3265602461,-60.8892869,13.9045149,"viewpoint",1.5,"Mandele Lookout Point","Dennery"
"node",3381978707,-60.9720166,14.0552927,"hotel",3,"Apartment Espoir","Gros Islet"
"node",3382118985,-60.974372,14.058804,"hotel",3,"Windjammer Landing Resort","Gros Islet"
"node",3586258245,-60.8994913,14.0419218,"historic",1.5,NA,"Gros Islet"
"node",3586339495,-60.9571146,14.0439916,"guesthouse",1,"Riverstone Guest House","Gros Islet"
"node",3971776153,-61.0511296,13.7763571,"attraction",2,"Choiseul Petroglyph","Choiseul"
"node",3974837542,-61.0579844,13.7871745,"historic",1.5,"Morne Sion Wind Mill","Choiseul"
"node",3997925907,-60.9504934,14.0799439,"guesthouse",1,"Coral Reef Apartments","Gros Islet"
"node",3998268054,-60.898425,13.9187261,"guesthouse",1,"Kai Dormi","Dennery"
"node",4000049157,-61.0506815,13.7753867,"beach",2,"Choiseul village public beach","Choiseul"
"node",4003282224,-61.0091487,14.0083147,"hotel",3,"Sandals Regency La Toc Golf Resort & Spa","Castries"
"node",4003419053,-60.9311293,13.9317008,"historic",1.5,"Grand Riviere Monument","Dennery"
"node",4012078102,-61.0529703,13.8546047,"guesthouse",1,"De Residence Guest House","Soufriere"
"node",4013075191,-61.0374466,13.7595508,"beach",2,"River Doree Beach","Laborie"
"node",4013087389,-61.0289151,13.7614651,"guesthouse",1,"L'Escape","Laborie"
"node",4013332381,-61.0210809,13.7532377,"beach",2,"Piaye Beach","Laborie"
"node",4013384350,-61.0533364,13.8633352,"hotel",3,"La Haut Resort","Soufriere"
"node",4013459862,-61.0677571,13.7997032,"beach",2,"Anse L'Ivrogne Beach","Choiseul"
"node",4014369931,-61.0607925,13.8448375,"hotel",3,"Stonefield Estate Resort","Soufriere"
"node",4017283936,-60.9489082,13.7303199,"hotel",3,"Clear Sky (Kabran) Hotel","Vieux Fort"
"node",4019718879,-61.0503137,13.8334385,"hotel",3,"Rabot Hotel from Hotel Chocolat","Soufriere"
"node",4023818737,-61.0228126,13.9643184,"hotel",3,"The Cove","Castries"
"node",4027985616,-61.007218,13.7703539,"viewpoint",1.5,"Morne Le Blanc Heritage Site","Laborie"
"node",4031158000,-61.0501517,13.7784035,"viewpoint",1.5,NA,"Choiseul"
"node",4031518715,-61.0558604,13.8582168,"historic",1.5,"Soufriere Coconut Factory","Soufriere"
"node",4031557295,-61.0522812,13.8577757,"guesthouse",1,"Guest House","Soufriere"
"node",4031588825,-60.990046,14.0099864,"historic",1.5,"Sir John Compton Monument","Castries"
"node",4032184478,-60.9617874,14.0208858,"attraction",2,"Forestry Zoo","Castries"
"node",4032186190,-60.9578317,14.0158735,"hotel",3,"Unique Vacations Limited Call Centre","Castries"
"node",4032206469,-60.9909987,14.0088453,"historic",1.5,NA,"Castries"
"node",4153687589,-61.0611481,13.794983,"hotel",3,"Kaye Mango","Choiseul"
"node",4160134410,-61.0620575,13.794762,"hotel",3,"Tet Rouge Resort","Choiseul"
